半径,中心 X,中心 Y
12.5000,464.9347,458.3293
12.5000,464.9347,426.3293
12.5000,464.9347,522.3293
12.5000,464.9347,490.3293
12.5000,464.9347,394.3293
12.5000,437.2219,506.3293
12.5000,437.2219,474.3293
12.5000,437.2219,570.3293
12.5000,437.2219,538.3293
12.5000,492.6475,538.3293
12.5000,492.6475,506.3293
12.5000,326.3706,666.3293
12.5000,492.6475,570.3293
12.5000,492.6475,474.3293
12.5000,492.6475,378.3293
12.5000,464.9347,554.3293
12.5000,492.6475,442.3293
12.5000,492.6475,410.3293
12.5000,437.2219,442.3293
12.5000,354.0835,554.3293
12.5000,354.0835,522.3293
12.5000,381.7963,474.3293
12.5000,381.7963,442.3293
12.5000,354.0835,490.3293
12.5000,326.3706,538.3293
12.5000,326.3706,506.3293
12.5000,354.0835,458.3293
12.5000,326.3706,570.3293
12.5000,409.5091,522.3293
12.5000,409.5091,490.3293
12.5000,437.2219,410.3293
12.5000,409.5091,554.3293
12.5000,409.5091,458.3293
12.5000,381.7963,538.3293
12.5000,381.7963,506.3293
12.5000,409.5091,426.3293
12.5000,381.7963,570.3293
12.5000,326.3706,634.3293
12.5000,464.9347,714.3293
12.5000,464.9347,746.3293
12.5000,464.9347,650.3293
12.5000,464.9347,682.3293
12.5000,464.9347,778.3293
12.5000,437.2219,666.3293
12.5000,437.2219,698.3293
12.5000,437.2219,602.3293
12.5000,437.2219,634.3293
12.5000,492.6475,666.3293
12.5000,492.6475,698.3293
12.5000,492.6475,602.3293
12.5000,492.6475,634.3293
12.5000,492.6475,730.3293
12.5000,464.9347,586.3293
12.5000,464.9347,618.3293
12.5000,492.6475,762.3293
12.5000,492.6475,794.3293
12.5000,437.2219,730.3293
12.5000,381.7963,730.3293
12.5000,354.0835,586.3293
12.5000,381.7963,666.3293
12.5000,381.7963,698.3293
12.5000,354.0835,618.3293
12.5000,354.0835,714.3293
12.5000,326.3706,602.3293
12.5000,354.0835,650.3293
12.5000,354.0835,682.3293
12.5000,409.5091,618.3293
12.5000,409.5091,650.3293
12.5000,437.2219,762.3293
12.5000,409.5091,586.3293
12.5000,409.5091,682.3293
12.5000,381.7963,602.3293
12.5000,381.7963,634.3293
12.5000,409.5091,714.3293
12.5000,409.5091,746.3293
12.5000,564.3603,458.3293
12.5000,564.3603,426.3293
12.5000,564.3603,522.3293
12.5000,564.3603,490.3293
12.5000,564.3603,394.3293
12.5000,592.0731,506.3293
12.5000,592.0731,474.3293
12.5000,592.0731,570.3293
12.5000,592.0731,538.3293
12.5000,536.6475,538.3293
12.5000,536.6475,506.3293
12.5000,702.9244,666.3293
12.5000,536.6475,570.3293
12.5000,536.6475,474.3293
12.5000,536.6475,378.3293
12.5000,564.3603,554.3293
12.5000,536.6475,442.3293
12.5000,536.6475,410.3293
12.5000,592.0731,442.3293
12.5000,675.2116,554.3293
12.5000,675.2116,522.3293
12.5000,647.4988,474.3293
12.5000,647.4988,442.3293
12.5000,675.2116,490.3293
12.5000,702.9244,538.3293
12.5000,702.9244,506.3293
12.5000,675.2116,458.3293
12.5000,702.9244,570.3293
12.5000,619.7860,522.3293
12.5000,619.7860,490.3293
12.5000,592.0731,410.3293
12.5000,619.7860,554.3293
12.5000,619.7860,458.3293
12.5000,647.4988,538.3293
12.5000,647.4988,506.3293
12.5000,619.7860,426.3293
12.5000,647.4988,570.3293
12.5000,702.9244,634.3293
12.5000,564.3603,714.3293
12.5000,564.3603,746.3293
12.5000,564.3603,650.3293
12.5000,564.3603,682.3293
12.5000,564.3603,778.3293
12.5000,592.0731,666.3293
12.5000,592.0731,698.3293
12.5000,592.0731,602.3293
12.5000,592.0731,634.3293
12.5000,536.6475,666.3293
12.5000,536.6475,698.3293
12.5000,536.6475,602.3293
12.5000,536.6475,634.3293
12.5000,536.6475,730.3293
12.5000,564.3603,586.3293
12.5000,564.3603,618.3293
12.5000,536.6475,762.3293
12.5000,536.6475,794.3293
12.5000,592.0731,730.3293
12.5000,647.4988,730.3293
12.5000,675.2116,586.3293
12.5000,647.4988,666.3293
12.5000,647.4988,698.3293
12.5000,675.2116,618.3293
12.5000,675.2116,714.3293
12.5000,702.9244,602.3293
12.5000,675.2116,650.3293
12.5000,675.2116,682.3293
12.5000,619.7860,618.3293
12.5000,619.7860,650.3293
12.5000,592.0731,762.3293
12.5000,619.7860,586.3293
12.5000,619.7860,682.3293
12.5000,647.4988,602.3293
12.5000,647.4988,634.3293
12.5000,619.7860,714.3293
12.5000,619.7860,746.3293
